Category,(All),,,
Region,(All),,,
Ship Day,(All),,,
Ship Mode,Second Class,,,
,,,,
Oder Day,Sum of Sales,Sum of Quantity,Sum of Discount,Sum of Profit
01,26810.13,309,7.9,5649.04
13,22502.55,298,11.3,872.65
02,21796.82,251,9.52,3990.40
25,21638.02,308,9.05,2376.75
23,21365.02,329,11.2,4145.14
12,20353.03,311,12.55,1808.08
21,20081.93,256,12.02,3589.27
19,19988.18,325,10.9,914.55
09,18991.55,317,9,4134.47
17,17419.25,262,8.3,1868.34
27,17024.43,280,7.1,3180.31
16,15934.23,242,8,4480.71
04,15728.73,244,13.3,283.36
18,14943.13,282,13.3,1879.22
08,14726.75,217,6.02,1183.62
29,14208.42,208,5.85,1688.79
05,14151.51,306,12,1028.23
11,13947.28,272,7.5,2082.59
31,13851.48,222,5.7,2793.10
24,12086.00,202,9.3,1213.74
28,11773.51,147,5.5,-934.45
03,10574.67,267,10.57,1006.05
10,10554.31,210,5.8,1093.13
30,10033.97,138,7.77,665.06
22,9955.42,158,5.5,-339.08
26,9335.81,183,9.1,1182.69
07,9257.97,154,5.2,1839.72
20,9234.23,254,10,1220.12
15,8937.56,162,6.9,950.48
14,7107.23,202,8.5,737.16
06,4880.48,107,5.5,863.38
Grand Total,459193.57,7423,270.15,57446.64
