Category,(All),,,
Region,(All),,,
Ship Day,(All),,,
,,,,
Oder Day,Sum of Sales,Sum of Quantity,Sum of Discount,Sum of Profit
21,95784.25,1496,69.07,16681.16
02,105139.12,1486,64.97,19441.09
20,72323.99,1436,57.32,10074.36
26,78544.16,1420,54.4,7083.98
23,88785.57,1392,59.55,20096.61
05,64520.51,1386,58.12,7498.29
08,101577.95,1372,51.72,12088.53
11,69615.23,1358,56.3,6871.53
03,72319.92,1355,62.92,7090.52
17,112155.14,1340,49.69,17155.37
01,95524.57,1329,44.32,17006.78
13,80023.84,1322,46.24,7528.88
12,65563.70,1320,48.97,5437.69
14,71955.12,1307,57.82,12841.01
09,66582.37,1272,54.7,9917.16
25,82401.21,1269,56.87,2029.38
19,77927.50,1266,54.64,5605.14
18,90737.98,1223,57.5,6279.71
24,77519.09,1166,46.5,11855.61
30,64858.27,1142,48.62,5865.81
10,62993.84,1117,42.9,5315.29
07,62610.91,1102,49.95,3773.09
28,64838.46,1098,45.99,4868.15
22,66477.00,1086,48.3,9378.48
06,53306.86,1071,49.04,7489.70
04,68162.34,1068,46.55,6873.64
27,59240.64,1055,35.23,7019.65
15,58147.90,1017,42.2,5421.56
16,73053.22,976,42.95,12468.53
29,44806.69,877,33.97,5418.81
31,49703.52,749,23.77,9921.51
Grand Total,2297200.86,37873,1561.09,286397.02
